Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Min,trainer/Bellman Errors 2 Std,trainer/Policy Action Max,trainer/Policy Action Mean,trainer/Policy Action Min,trainer/Policy Action Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss
0,-6.816168e-05,-0.00045950792,-0.0010081255,0.00023557368,125.15479153630208,38,176.74254481705174,125.15479153630208,97.32073817812703,18.115676011853555,1.3142787015149577,0.9644863269883347,0.6926021422623949,0.05941277557443311,38,4931,163,129.76315789473685,105,14.159679989184848,0.3874022718325858,-0.0009322032083312323,-0.32815888102964713,0.10081092513191829,45.126321617492415,20,78.44147832760862,45.126321617492415,17.382692662033715,15.807274731985169,1.1494601007201402,0.9025264323498482,0.37866845478942673,0.12981491354286503,37,2000,86,50.0,18,16.676330531624757,2000,0.0033656320010777563,5.923237548006,1.83116459500161,0.37592714600032195,0.014791567002248485,0.0032792269994388334,7.735864596004831,3.694709381001303,1.7766489,0.9035375,0.2222766,0.2779301,1.77645,0.9026638,0.22158584,0.27790177,0.00019816116,-0.00052634254,-0.001630296,0.00031455752,-0.0058325855,1.3333123,0.9385997,0.4712338,0.1486929,0.0010307624,-0.00024523912,-0.0008301396,0.00031098578,0.000585807,0.00022622413,-0.00018780128,0.00016867573,0.9035375,0.9026638
1,1.0,0.33334148,-1.0,0.94279754,5.835261387526703,714,6.008787045852456,5.835261387526703,5.686986952288489,0.05867987793447611,1.0367058255051398,0.8336087696466719,0.6585541556716378,0.10142820492820571,752,9929,7,7.0,7,0.0,1.0,0.3186688171232336,-1.0,0.9073136113734487,5.877433642536509,143,7.048479772872879,5.877433642536509,4.497830500769499,0.17207523594601248,1.0354396880387824,0.8404730108827208,0.6624112477487305,0.10279200191596545,180,3000,8,6.993006993006993,5,0.18685859043199143,3000,0.00357767500099726,5.918050143998698,1.9373540630040225,0.395808355002373,0.023675714997807518,0.0034364069942967035,13.657801934015879,3.5541979289992014,1.4994179,0.13166451,3.7046748e-06,0.2842317,4.57467,0.12858745,8.315568e-08,0.65693426,1.0,0.33336306,-1.0,0.9427669,-2.6035504,3.0048428,2.2319386,0.6949145,0.4167339,3.1014802,2.150783,0.82132155,0.39055333,3.0931673,2.321167,0.8035824,0.3240845,0.13166451,0.12858745
2,1.0,0.9999568,0.99941486,8.993943e-05,38.805954985142904,226,40.64511603697461,38.805954985142904,36.71529892315482,0.9364774599477104,2.41516909484072,1.7575442538361314,1.0056665435542702,0.4634050384568579,978,14919,23,22.079646017699115,21,0.5666481626046769,1.0,0.9605941859432005,0.6836363181780655,0.05768499148373541,38.9058921389559,45,40.57722071838309,38.9058921389559,24.49006804133851,2.366956068523628,2.4385328952074974,1.7507651462530154,1.007416414971436,0.4641848051033569,225,4000,23,22.22222222222222,15,1.2452378423219466,4000,0.003496330995403696,5.887443422980141,1.8728603909985395,0.3891391509969253,0.012240311996720266,0.003469629999017343,19.550427834983566,3.6062376079935348,393.10364,9.64042,1.27761305e-05,35.772106,387.00992,8.175615,1.4588497e-06,34.994858,1.0,0.9999868,0.9995661,5.3454307e-05,-8.142929,18.255953,7.814104,0.6711404,4.4684606,24.60536,9.216822,0.69309473,6.5143313,22.841286,9.000029,0.65093374,6.25479,9.640421,8.175614
3,1.0,0.3333328,-1.0,0.9428087,-1.415265214643148,281,-0.6195761810561662,-1.415265214643148,-1.9785392450015866,0.30795719787043924,1.0842056817779515,-0.07969729966226946,-1.1884194376974102,0.7919137741422697,1259,19909,18,17.75800711743772,17,0.42829000379588283,1.0,0.3200067667290847,-1.0,0.9068830321934179,-1.0750678844364352,56,5.859933786031781,-1.0750678844364352,-1.746527349784615,0.9718821107270937,1.0741854292598936,-0.06020380152844036,-1.1827941770117953,0.7847483755202265,281,5000,19,17.857142857142858,8,1.3552618543578767,5000,0.0035036150002270006,5.869777867010271,1.8870790079963626,0.3875332480020006,0.014151899005810264,0.0034440510062268004,25.423976463003783,3.5740660459996434,8381.249,360.7442,2.9128912e-06,1231.9471,18381.408,953.7411,4.1132465e-05,3006.4246,1.0,0.33333322,-1.0,0.9428089,-20.52222,73.039635,19.360043,-0.7924441,17.110275,135.98679,25.3665,0.69245696,31.690039,179.2072,30.328926,0.6415249,42.479725,360.7442,953.7411
4,1.0,-0.38002214,-1.0,0.9184874,2.4639266302454987,395,3.4063409899840704,2.4639266302454987,1.754323001462917,0.4994165101291666,0.9008481338564837,0.19492309612396794,-1.0549846256614808,0.6414482375107756,1654,24902,13,12.640506329113924,12,0.4798520308167193,1.0,-0.33632929457524235,-1.0,0.886054619340036,2.8175338580892446,79,3.866527750672341,2.8175338580892446,2.0174766526403944,0.4619618114927919,0.9160331500466017,0.22258517478905032,-1.045795923456268,0.628076675071517,360,6000,13,12.658227848101266,11,0.5249731988184233,6000,0.0034964110018336214,5.86474833500688,1.8915366169967456,0.38720379400183447,0.018844334001187235,0.0034158670023316517,31.29216221702518,3.560251312002947,10955.259,327.03552,0.0003894835,1364.5869,17052.277,367.4699,2.6766998e-07,1658.5967,1.0,-0.21623188,-1.0,0.96134084,-70.72402,205.04109,45.088707,-1.1025399,48.0655,202.04605,47.55297,-1.7012022,49.271057,202.68903,47.372696,-1.0649185,49.13657,327.03552,367.4699
5,1.0,0.30470178,-1.0,0.952003,-1.4213116109228605,281,-0.6487062231473575,-1.4213116109228605,-2.014395806183615,0.31057679504248514,1.0799303594542213,-0.07998969811122046,-1.1822782535870295,0.7923939984107423,1935,29895,18,17.768683274021353,17,0.42167439839426696,1.0,0.2945512694862642,-1.0,0.9142888997979414,-1.070188050371435,56,5.740740422910964,-1.070188050371435,-1.7881623384263983,0.9568773761326964,1.0778546629567332,-0.05993053082080034,-1.1622885901568925,0.7840115083573033,416,7000,19,17.857142857142858,9,1.2309777099724348,7000,0.0035294629997224547,5.857446899004572,1.8776887330022873,0.3841503589937929,0.013752195998677053,0.0036049660047865473,37.15463448601804,3.5747211820053053,30699.14,275.0161,2.3177168e-05,2123.7017,32450.232,316.42316,1.1432867e-05,2286.0955,1.0,0.14584024,-1.0,0.9892449,-94.96295,607.61487,73.0163,-3.6521754,110.06505,595.16284,70.03765,-4.731327,105.371796,587.87274,69.39674,-3.9403293,103.99576,275.01608,316.42316
6,1.0,0.30660838,-1.0,0.9514895,-1.4096237680032238,281,-0.5567354917270082,-1.4096237680032238,-2.0904900292409505,0.32617346311499085,1.0839148167108834,-0.07942736691576216,-1.193252427795372,0.7929943299332906,2216,34882,18,17.747330960854093,17,0.4345427433555776,1.0,0.296197564470098,-1.0,0.9130985340887675,-1.1181277469619324,56,4.426207460352887,-1.1181277469619324,-1.723298155826224,0.7878943384960235,1.0781498085145178,-0.06261515382986822,-1.177001211784064,0.7841963039167401,472,8000,19,17.857142857142858,12,0.832993127835043,8000,0.003485528999590315,5.86140725100995,1.8734492150033475,0.38442971400218084,0.014157987003272865,0.00373458400281379,43.01929177802231,3.582150221998745,194528.05,2600.0884,0.00010829512,19266.902,182182.88,2578.4492,0.005037832,18709.668,1.0,0.17189305,-1.0,0.98508865,-167.71524,1364.4159,127.74628,-29.419537,259.3196,1332.4557,123.72982,-20.93084,246.4748,1333.2922,124.19243,-5.489683,246.72884,2600.0884,2578.4495
7,1.0,0.15147886,-1.0,0.9785988,-1.2872037874608202,258,-0.3271982682881963,-1.2872037874608202,-1.97341041299148,0.3282263420210843,1.0642674491259174,-0.06661957415544464,-1.2263504059715833,0.6157584988038296,2474,39867,21,19.32170542635659,18,0.7683124808729377,1.0,0.14540553941026077,-1.0,0.9408211067107564,-1.0102828034369098,51,1.1069593032110665,-1.0102828034369098,-1.7621883623396792,0.43581156323974407,1.063713220629891,-0.051524422975282404,-1.187180799382141,0.5987232972330769,523,9000,21,19.607843137254903,16,0.8419964922974074,9000,0.003497953999612946,5.877812238992192,1.872747777000768,0.3815011449987651,0.014639052998973057,0.0036629659953177907,48.90079765200062,3.601763343998755,193932.53,1415.2015,0.00037657743,12294.273,206471.36,4259.3213,0.00016351155,22234.549,1.0,-0.03244261,-1.0,0.9865232,-236.02943,2522.6548,189.56615,-32.17273,453.74014,2465.478,193.34593,-11.6233425,450.01044,2413.792,194.37735,-6.9620733,442.92075,1415.2015,4259.3213
8,1.0,-0.1890298,-1.0,0.9639453,0.6365964544748055,544,0.8921911661448937,0.6365964544748055,-0.01997683377594006,0.2696519677444848,0.9644974890753881,0.06927554935673019,-0.9528463197657813,0.6483126850574681,3018,44866,10,9.189338235294118,9,0.39177706409363344,1.0,-0.15697898758605655,-1.0,0.9332788711341355,0.7176177272844844,104,3.1309763945982034,0.7176177272844844,0.13183379661443906,0.3867643517324723,0.9736259376150349,0.07463224363758637,-0.9084048789967224,0.6314036161130968,627,10000,11,9.615384615384615,5,0.6694959686742004,10000,0.0036037050012964755,6.339603319996968,2.1902312969978084,0.4066022979968693,0.022813007999502588,0.0038436210015788674,55.244343780002964,3.7125093909999123,1971202.0,20896.13,1.4771013e-07,167993.39,1821643.5,18943.059,0.0064712144,161533.22,1.0,-0.20950718,-1.0,0.95015484,-346.0528,4221.9,307.9542,-14.608447,679.8375,4088.615,311.24017,-13.505109,660.4916,4154.052,311.74362,-11.036709,664.80396,20896.129,18943.055
9,1.0,-0.33332762,-1.0,0.9428048,0.25185965624330664,555,0.506834027374256,0.25185965624330664,-0.04525250245072843,0.11234072162107421,0.9646664278657159,0.027984406249256293,-1.2276743013416203,0.7315728280687387,3573,49861,9,9.0,9,0.0,1.0,-0.3202064220421088,-1.0,0.9064406624069579,0.6442443819776495,111,1.612383068563426,0.6442443819776495,-0.4697815414527433,0.2302985117646527,0.9798664972556633,0.07151112639951908,-1.34058161241168,0.703836366096889,738,11000,10,9.00900900900901,8,0.16415195638097835,11000,0.003672505001304671,6.304987404000713,2.0685783860026277,0.4162059939990286,0.01464044299791567,0.003432937999605201,61.55478899399168,3.7984571380002308,356226.62,6709.9854,0.0029723926,38781.74,435018.8,6088.544,0.0002120973,37999.254,1.0,-0.31107575,-1.0,0.9352992,-615.12146,6861.239,475.14795,-22.03069,1139.784,6760.3486,484.3543,-17.259613,1129.4285,6736.397,480.81268,-16.864988,1127.6918,6709.9854,6088.544
